	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
94	OzaOza	1700 Post St,Ste K,Fl 2,San Francisco,CA,94115	Japanese	Above $61	4.5	108	Closed	Closed	6:30 pm - 10:00 pm	6:30 pm - 10:00 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	Closed	No	No	Yes	Street	NULL	Yes	No	Yes	No
95	Wildseed	2000 Union St,San Francisco,CA,94123	Vegetarian,Vegan,Cocktail Bars	$11-30	4.5	288	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:00 am - 3:00 pm,5:00 pm - 11:00 pm	11:00 am - 3:00 pm,5:00 pm - 10:00 pm	No	Free	Yes	Street	Yes	Yes	NULL	NULL	Yes
96	Pho Huynh Hiep 2 - Kevin's Noodle House	1833 Irving St,San Francisco,CA,94122	Vietnamese,Noodles	Under $10	4.0	1654	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	No	No	Street, Private Lot	Yes	Yes	No	No	Yes
97	Uva Enoteca	568 Haight St,San Francisco,CA,94117	Italian,Pizza	$11-30	4.0	927	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm	No	No	Yes	Street	NULL	Yes	NULL	NULL	Yes
98	The View Lounge	780 Mission St,San Francisco,CA,94103	Lounges,Cocktail Bars,Tapas/Small Plates	$11-30	4.0	1768	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 12:00 am	4:00 pm - 1:00 am	4:00 pm - 1:00 am	4:00 pm - 12:00 am	No	Free	No	Valet	NULL	Yes	No	No	No
99	Pearl 6101	6101 California St,San Francisco,CA,94121	Cafes,Seafood,Mediterranean	$11-30	4.5	236	Closed	8:00 am - 2:00 pm,5:00 pm - 10:00 pm	8:00 am - 2:00 pm,5:00 pm - 10:00 pm	8:00 am - 2:00 pm,5:00 pm - 10:00 pm	8:00 am - 2:00 pm,5:00 pm - 10:00 pm	10:00 am - 2:00 pm,5:00 pm - 10:00 pm	10:00 am - 2:00 pm,5:00 pm - 10:00 pm	No	Free	Yes	Street	NULL	Yes	No	No	No
100	The Slanted Door	1 Ferry Bldg,Ste 3,San Francisco,CA,94111	Vietnamese,Asian Fusion,Bars	$31-60	3.5	5666	11:00 am - 2:30 pm,2:45 pm - 4:30 pm,5:30 pm - 9:00 pm	11:00 am - 2:30 pm,2:45 pm - 4:30 pm,5:30 pm - 9:00 pm	11:00 am - 2:30 pm,2:45 pm - 4:30 pm,5:30 pm - 9:00 pm	11:00 am - 2:30 pm,2:45 pm - 4:30 pm,5:30 pm - 9:00 pm	11:00 am - 2:30 pm,2:45 pm - 4:30 pm,5:30 pm - 9:00 pm	11:00 am - 2:30 pm,2:45 pm - 4:30 pm,5:30 pm - 9:00 pm	11:30 am - 3:00 pm,3:15 pm - 4:30 pm,5:30 pm - 9:00 pm	No	No	Yes	Valet, Street, Private Lot, Validated	Yes	Yes	No	No	No
101	IZUMIYA	1581 Webster St,Ste 270,San Francisco,CA,94115	Japanese	$11-30	4.0	41	Closed	11:30 am - 2:30 pm,5:30 pm - 9:00 pm	11:30 am - 2:30 pm,5:30 pm - 9:00 pm	11:30 am - 2:30 pm,5:30 pm - 9:00 pm	11:30 am - 2:30 pm,5:30 pm - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	No	No	NULL	NULL	NULL	Yes	NULL	NULL	Yes
102	La Taqueria	2889 Mission St,San Francisco,CA,94110	Mexican	Under $10	4.0	4039	Closed	Closed	11:00 am - 8:45 pm	11:00 am - 8:45 pm	11:00 am - 8:45 pm	11:00 am - 8:45 pm	11:00 am - 7:45 pm	No	No	No	Street	Yes	No	No	No	Yes
103	Han Il Kwan	1802 Balboa St,San Francisco,CA,94121	Korean	$11-30	4.0	1596	11:00 am - 9:30 pm	11:00 am - 9:30 pm	Closed	11:00 am - 9:30 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:30 pm	No	No	Yes	Street, Private Lot	NULL	Yes	No	No	Yes
